"message_id","policy_id","side","message_text","source_type","provenance_refs","generation_method","length_words","version","notes"
"A_01_01","1","A","We must accelerate clean energy investment and delivery. By investing GBP 40 billion annually, we can drive a rooftop solar revolution and ensure wind power provides the vast majority of our electricity by 2030. This unprecedented investment will end our reliance on volatile fossil fuel markets, bringing down energy bills and securing our future.","verbatim_summary","A_01_01;A_01_02","doc_broadcast_ready","54","v1","Broadcast-ready message from research doc; ASCII-normalised."
"A_01_02","1","A","A rooftop solar revolution is within reach if we expand household incentives and guarantee a fair price for electricity sold back into the grid. Every roof that generates power is one less family exposed to gas price spikes. This is how we turn the cost of living crisis into an opportunity to rebuild.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","53","v1",""
"A_01_03","1","A","Around fifty billion pounds over a parliament should be directed straight into electricity generation, transmission and storage. That investment would put wind and solar at the heart of a modern grid, create skilled jobs across every region and finally unlock the cheap power that British households have been waiting for.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","50","v1",""
"A_01_04","1","A","Volatile gas markets sent energy bills soaring, and they will do so again. The only durable answer is to invest at scale in domestic renewables so that the wholesale price of electricity is set by wind and sun, not by distant conflicts and corporate margins.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","45","v1",""
"A_01_05","1","A","Wind power can and should provide the vast majority of our electricity by 2030, alongside expanded solar and proper storage. Reaching that point requires honest public investment now, not more delay. The cheapest unit of electricity is one that does not depend on a fuel that has to be bought.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","50","v1",""
"A_01_06","1","A","Decent green jobs in manufacturing, installation and grid services would follow rapidly from a forty billion pound annual investment commitment. Communities that lost industry decades ago could be at the centre of building, maintaining and operating the new energy system. That is the economic case for the renewables roll-out.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","49","v1",""
"A_01_07","1","A","Households that install solar should be paid a fair price for the power they put back into the grid. Today the rates are derisory and the rules are confusing. A guaranteed price and simpler incentives would unleash a wave of installation and reduce bills across the country.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","47","v1",""
"A_01_08","1","A","Storage is the missing piece of the renewables story, and it must be funded as core public infrastructure rather than left to chance. With proper battery capacity and grid upgrades, intermittent generation becomes reliable supply, and the case against rapid expansion collapses.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","42","v1",""
"A_01_09","1","A","Energy security and climate action are the same project. Every wind turbine and solar panel built at home is one less unit of imported gas, one less exposure to price shocks, and one more block of permanent low-cost power for households and industry.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","43","v1",""
"A_01_10","1","A","The cost of building wind and solar has collapsed over the last decade. What is missing is the political will to invest at the scale the science demands. A serious public investment plan would unlock private capital alongside it and accelerate the transition in a way the market alone never will.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","51","v1",""
"A_01_11","1","A","Fuel poverty is a policy choice. By investing tens of billions a year in clean power and insulation, we can break the link between household bills and global gas prices, and ensure that no family has to choose between heating their home and putting food on the table.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","48","v1",""
"A_01_12","1","A","Public investment in renewable generation and storage repays itself many times over in lower bills, cleaner air and a more stable economy. Continuing to depend on fossil fuels means continuing to gamble with household finances. The transition has to be funded boldly and built quickly.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","45","v1",""
"A_01_13","1","A","Every new solar roof, onshore wind project and offshore array is a small piece of insurance against the next price shock. Building enough of them takes a long-term plan and consistent funding. Half measures have failed; the answer is to commit and deliver.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","43","v1",""
"A_01_14","1","A","Communities should share directly in the benefits of nearby renewable projects through lower bills, community ownership and local investment. That is what makes the transition fair as well as fast, and it is the only way to ensure broad public support over the long haul.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","45","v1",""
"A_01_15","1","A","Coordinated public investment in transmission, distribution and storage is essential if renewable generation is to reach every household at low cost. Without grid upgrades, even the best wind and solar projects cannot deliver. Funding the grid is funding lower bills.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","40","v1",""
"A_01_16","1","A","Apprenticeships and training in installation, retrofit, grid engineering and offshore wind must scale with the build-out. A serious green investment plan funds the workforce as well as the kit, ensuring decent jobs follow every project rather than being treated as an afterthought.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","42","v1",""
"A_01_17","1","A","Slow delivery costs more than rapid delivery. Every year of delay means more years of fossil-fuel bills, more lost industrial opportunity and more damage to the climate. The plan must be to invest now, build now and benefit now.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","39","v1",""
"A_01_18","1","A","A rapid renewables roll-out lowers bills, ends our dependence on imported fuel, creates secure jobs and cuts emissions. Refusing to fund it at scale serves no one except the fossil fuel interests profiting from delay. The case for forty billion pounds a year is overwhelming.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","45","v1",""
"A_01_19","1","A","We need a forty billion pound annual green investment programme to scale up wind, solar and storage at the pace this country requires. Public investment on this scale will end our exposure to volatile fossil fuel markets, bring down household energy bills permanently and give us real energy security based on what we build at home.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","56","v1",""
"A_01_20","1","A","Cheap, clean electricity is the foundation of a modern industrial strategy. Investing at scale in domestic renewables means lower bills, more secure jobs and a stronger economy. The country that builds the energy system of the future will benefit for generations.","llm_generated","A_01_01;A_01_02","claude_in_session_2026-05-22","41","v1",""
"A_02_01","2","A","We are already battling deadly heatwaves and overshooting climate limits, so it is critical that we stop extracting new oil and gas immediately. We must cancel recent licences like Rosebank and ban all new fossil fuel extraction projects in the UK. We cannot drill our way out of a climate emergency while fossil fuel companies extract record profits.","verbatim_summary","A_02_01;A_02_02","doc_broadcast_ready","58","v1","Broadcast-ready message from research doc; ASCII-normalised."
"A_02_02","2","A","Every new field locked in today commits decades of future emissions. The science is unambiguous: we cannot afford to extract any more oil, gas or coal than is already in production. A full ban on new licences is the minimum responsible step.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","42","v1",""
"A_02_03","2","A","There is no national interest in handing further licences to fossil fuel companies that are already extracting record profits. Cancelling Rosebank and similar projects would signal that the climate emergency is being taken seriously and that the era of new extraction is over.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","43","v1",""
"A_02_04","2","A","North Sea oil is sold on international markets at international prices. New licences do not lower household bills; they line the pockets of producers while locking in emissions for decades. Stopping new extraction is honest climate policy and honest energy policy.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","41","v1",""
"A_02_05","2","A","A just transition for workers in the offshore industry requires planning, funding and lead time. None of that is helped by issuing more licences. It is helped by a clear cut-off and a serious investment programme in renewables, insulation and grid jobs in the same communities.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","46","v1",""
"A_02_06","2","A","We cannot drill our way out of a climate emergency. Banning new licences is the threshold question that separates serious climate policy from greenwash. Until that line is drawn, every other target lacks credibility.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","34","v1",""
"A_02_07","2","A","The argument that more domestic extraction means lower bills has been disproven by years of evidence. What it really means is more emissions, more profits for oil majors and more dependence on a fuel that has to be phased out. The licences must stop.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","44","v1",""
"A_02_08","2","A","Cancelling recent fossil fuel licences would put the country back in line with the temperature limits its own government has signed up to. Continuing to issue them puts those commitments out of reach and undermines international climate diplomacy.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","38","v1",""
"A_02_09","2","A","Public money should never again subsidise the expansion of fossil fuel extraction, whether through tax breaks, loan guarantees or favourable licences. A clear ban removes the ambiguity and forces capital toward the energy system we actually need.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","37","v1",""
"A_02_10","2","A","Fossil fuel companies are extracting record profits while the rest of the country struggles with the cost of climate impacts. Allowing them to open new fields makes that injustice worse. Stopping new licences is the most basic act of fairness in energy policy.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","43","v1",""
"A_02_11","2","A","Every new licence sends a signal to investors, workers and the world that this country is not serious about its climate obligations. Withdrawing that signal and committing to no new extraction is essential for credibility at home and abroad.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","39","v1",""
"A_02_12","2","A","Workers in the offshore sector deserve a real plan for transition, not endless extension of an industry with no future. Banning new licences and funding decent green jobs in the same coastal communities is how a just transition is actually delivered.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","41","v1",""
"A_02_13","2","A","The climate emergency is not a future risk; it is here in the form of heatwaves, floods and crop failures. Authorising new oil and gas extraction in the middle of that emergency is incoherent. The licences must stop now.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","39","v1",""
"A_02_14","2","A","Continued exploration locks in infrastructure, jobs and political pressure for decades of future production. Once built, these projects are hard to retire. The only way out of that trap is to refuse new licences in the first place.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","38","v1",""
"A_02_15","2","A","Other governments are already moving to halt new exploration. The UK should be a leader, not a laggard. A clear ban on new oil, gas and coal licences would put the country in the camp of those treating the crisis seriously.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","41","v1",""
"A_02_16","2","A","Reducing demand for fossil fuels through insulation, renewables and electrification is the heart of climate policy, but it cannot succeed if supply keeps expanding. Capping new licences is the supply-side complement that completes credible action.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","35","v1",""
"A_02_17","2","A","The case for new licences usually rests on dubious claims about bills or jobs that do not survive examination. The honest case for ending them rests on physics, on public health and on basic intergenerational fairness. The choice is straightforward.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","40","v1",""
"A_02_18","2","A","Cancel recent fossil fuel licences such as Rosebank, refuse all new ones and put public investment behind the alternative system that is now urgently needed. That is what a responsible climate policy looks like in the second half of the twenty-twenties.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","41","v1",""
"A_02_19","2","A","We are already living with deadly heatwaves and breaching climate limits. New oil and gas licences in this decade are indefensible. Recent grants such as Rosebank must be cancelled and no further extraction projects approved if there is to be any chance of keeping warming within survivable bounds.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","48","v1",""
"A_02_20","2","A","Communities most exposed to climate impacts are also those least responsible for emissions. Continuing to license new extraction makes their situation worse for the benefit of a small number of shareholders. A licence ban is a question of basic justice.","llm_generated","A_02_01;A_02_02","claude_in_session_2026-05-22","40","v1",""
"A_03_01","3","A","We want to see all petrol and diesel vehicles replaced by electric vehicles within a decade. We will push for an end to sales of new petrol and diesel vehicles by 2027, supported by a GBP 5 billion annual vehicle scrappage scheme to help ordinary people make the transition quickly and fairly, vastly improving the air quality in our communities.","verbatim_summary","A_03_01;A_03_02","doc_broadcast_ready","60","v1","Broadcast-ready message from research doc; ASCII-normalised."
"A_03_02","3","A","Air pollution from petrol and diesel vehicles is causing tens of thousands of early deaths every year. Bringing forward the end of new sales to 2027 and ending road use by 2035 would deliver immediate health gains, particularly in our most polluted communities.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","43","v1",""
"A_03_03","3","A","A serious EV transition has to include the people who cannot afford a new vehicle. That is why a five billion pound annual scrappage scheme must sit alongside the ban, helping working households switch to cleaner transport rather than being left behind.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","42","v1",""
"A_03_04","3","A","Electric cars are cheaper to run per mile, quieter in our streets and far cleaner in our lungs. The 2030 deadline is the bare minimum; bringing forward sales to 2027 would lock in those benefits sooner and signal that the country is finally serious about clean transport.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","47","v1",""
"A_03_05","3","A","Charging infrastructure, public transport investment and active travel networks must expand together with the ban. The goal is not to force everyone into a private EV but to make clean transport, in all its forms, the realistic default for every community.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","41","v1",""
"A_03_06","3","A","The car industry has been calling for clarity for years. A firm and earlier end-date for new petrol and diesel sales gives manufacturers and investors the long-term signal they need to commit fully to electric production lines and the supply chains that go with them.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","45","v1",""
"A_03_07","3","A","Every year of delay means more lifetime emissions locked in by petrol and diesel vehicles bought now. Bringing the cut-off forward to 2027 sharply cuts those locked-in emissions and helps put the transport sector on track with our overall climate obligations.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","41","v1",""
"A_03_08","3","A","Buses, trains and cycling deserve far more investment than they have received, and the funds released by the transition must back them. A scrappage scheme paired with rapid expansion of public and active transport would give families real alternatives, not just a different car.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","44","v1",""
"A_03_09","3","A","Children growing up next to busy roads breathe pollution that damages their lungs for life. Ending the sale of new petrol and diesel cars by 2027 is a basic act of public health policy for the next generation, and it should not be diluted.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","44","v1",""
"A_03_10","3","A","Cities across Europe have been moving faster than the UK on banning new combustion sales. There is no reason a serious industrial economy cannot match or exceed them. Bringing the date forward to 2027 puts the country back among the leaders.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","41","v1",""
"A_03_11","3","A","Scrappage support should be targeted first at low-income households and those most exposed to air pollution, ensuring the transition reduces inequality rather than entrenching it. A well-designed scheme is the difference between a fair transition and a punitive one.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","39","v1",""
"A_03_12","3","A","Investing in domestic battery and EV manufacturing alongside the ban turns the transition into an industrial opportunity rather than a threat. A serious plan funds the factories, training and grid links needed for the new sector to thrive.","llm_generated","A_03_01;A_03_02","claude_in_session_2026-05-22","38","v1",""
