agent_id,policy_id,ground_truth
684.0,ClimatePolicyID(1),3
684.0,ClimatePolicyID(2),3
684.0,ClimatePolicyID(3),3
684.0,ClimatePolicyID(4),3
684.0,ClimatePolicyID(5),3
684.0,ClimatePolicyID(6),3
615.0,ClimatePolicyID(1),3
615.0,ClimatePolicyID(2),3
615.0,ClimatePolicyID(3),3
615.0,ClimatePolicyID(4),3
615.0,ClimatePolicyID(5),3
615.0,ClimatePolicyID(6),1
822.0,ClimatePolicyID(1),2
822.0,ClimatePolicyID(2),-2
822.0,ClimatePolicyID(3),-2
822.0,ClimatePolicyID(4),2
822.0,ClimatePolicyID(5),-2
822.0,ClimatePolicyID(6),-2
1355.0,ClimatePolicyID(1),2
1355.0,ClimatePolicyID(2),2
1355.0,ClimatePolicyID(3),-3
1355.0,ClimatePolicyID(4),1
1355.0,ClimatePolicyID(5),-1
1355.0,ClimatePolicyID(6),1
1925.0,ClimatePolicyID(1),3
1925.0,ClimatePolicyID(2),0
1925.0,ClimatePolicyID(3),0
1925.0,ClimatePolicyID(4),1
1925.0,ClimatePolicyID(5),1
1925.0,ClimatePolicyID(6),1
498.0,ClimatePolicyID(1),3
498.0,ClimatePolicyID(2),3
498.0,ClimatePolicyID(3),0
498.0,ClimatePolicyID(4),3
498.0,ClimatePolicyID(5),3
498.0,ClimatePolicyID(6),3
1744.0,ClimatePolicyID(1),0
1744.0,ClimatePolicyID(2),0
1744.0,ClimatePolicyID(3),-1
1744.0,ClimatePolicyID(4),1
1744.0,ClimatePolicyID(5),0
1744.0,ClimatePolicyID(6),-1
693.0,ClimatePolicyID(1),1
693.0,ClimatePolicyID(2),1
693.0,ClimatePolicyID(3),1
693.0,ClimatePolicyID(4),2
693.0,ClimatePolicyID(5),1
693.0,ClimatePolicyID(6),0
65.0,ClimatePolicyID(1),3
65.0,ClimatePolicyID(2),3
65.0,ClimatePolicyID(3),3
65.0,ClimatePolicyID(4),3
65.0,ClimatePolicyID(5),-1
65.0,ClimatePolicyID(6),1
100.0,ClimatePolicyID(1),3
