policy_id,day,n_agents,n_support,support_pct,n_neutral,neutral_pct,n_against,against_pct
ClimatePolicyID(1),0,50,43,86.0,4,8.0,3,6.0
ClimatePolicyID(1),1,50,46,92.0,1,2.0,3,6.0
ClimatePolicyID(1),2,50,46,92.0,1,2.0,3,6.0
ClimatePolicyID(1),3,50,46,92.0,1,2.0,3,6.0
ClimatePolicyID(1),4,50,46,92.0,1,2.0,3,6.0
ClimatePolicyID(1),5,50,46,92.0,1,2.0,3,6.0
ClimatePolicyID(2),0,50,18,36.0,19,38.0,13,26.0
ClimatePolicyID(2),1,50,35,70.0,4,8.0,11,22.0
ClimatePolicyID(2),2,50,35,70.0,4,8.0,11,22.0
ClimatePolicyID(2),3,50,35,70.0,4,8.0,11,22.0
ClimatePolicyID(2),4,50,35,70.0,3,6.0,12,24.0
ClimatePolicyID(2),5,50,33,66.0,5,10.0,12,24.0
ClimatePolicyID(3),0,50,17,34.0,10,20.0,23,46.0
ClimatePolicyID(3),1,50,29,57.99999999999999,2,4.0,19,38.0
ClimatePolicyID(3),2,50,28,56.00000000000001,2,4.0,20,40.0
ClimatePolicyID(3),3,50,26,52.0,3,6.0,21,42.0
ClimatePolicyID(3),4,50,29,57.99999999999999,1,2.0,20,40.0
ClimatePolicyID(3),5,50,30,60.0,2,4.0,18,36.0
ClimatePolicyID(4),0,50,37,74.0,7,14.000000000000002,6,12.0
ClimatePolicyID(4),1,50,43,86.0,2,4.0,5,10.0
ClimatePolicyID(4),2,50,43,86.0,2,4.0,5,10.0
ClimatePolicyID(4),3,50,43,86.0,2,4.0,5,10.0
ClimatePolicyID(4),4,50,43,86.0,2,4.0,5,10.0
ClimatePolicyID(4),5,50,43,86.0,2,4.0,5,10.0
ClimatePolicyID(5),0,50,23,46.0,13,26.0,14,28.000000000000004
ClimatePolicyID(5),1,50,39,78.0,1,2.0,10,20.0
ClimatePolicyID(5),2,50,36,72.0,3,6.0,11,22.0
ClimatePolicyID(5),3,50,40,80.0,2,4.0,8,16.0
ClimatePolicyID(5),4,50,37,74.0,3,6.0,10,20.0
ClimatePolicyID(5),5,50,39,78.0,2,4.0,9,18.0
ClimatePolicyID(6),0,50,21,42.0,12,24.0,17,34.0
ClimatePolicyID(6),1,50,34,68.0,0,0.0,16,32.0
ClimatePolicyID(6),2,50,35,70.0,0,0.0,15,30.0
ClimatePolicyID(6),3,50,35,70.0,1,2.0,14,28.000000000000004
ClimatePolicyID(6),4,50,34,68.0,0,0.0,16,32.0
ClimatePolicyID(6),5,50,32,64.0,1,2.0,17,34.0
