day,phase,message_type,sender_type,sender_id,sender_side,recipient_id,recipient_scope,policy_id,package_scope,policy_ids_json,message_text,political_message_id
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,165.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","Cheap, clean electricity is the foundation of a modern industrial strategy. Investing at scale in domestic renewables means lower bills, more secure jobs and a stronger economy. The country that builds the energy system of the future will benefit for generations.

Communities most exposed to climate impacts are also those least responsible for emissions. Continuing to license new extraction makes their situation worse for the benefit of a small number of shareholders. A licence ban is a question of basic justice.

Clean transport is not a luxury for the better-off; it is a basic public health requirement and an economic opportunity. The combination of an earlier ban, a generous scrappage scheme and serious investment in public transport delivers on all three fronts.

An emergency upgrade programme for existing homes is the fastest route to lower bills and warmer winters for millions. Starting with free insulation and heat pumps for those on low incomes ensures the most exposed households benefit first.

Making polluters pay and investing the proceeds in the green transition is the cleanest pairing in climate economics. It puts the cost where it belongs, funds the alternatives at scale and avoids the inefficiency of recycling small sums back to every household.

Climate finance provided as loans rather than grants stores up further problems for the future, particularly for the poorest people in the poorest countries. Direct grant funding is the only responsible form of international climate support.",A_PKG_20
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,713.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","Cheap, clean electricity is the foundation of a modern industrial strategy. Investing at scale in domestic renewables means lower bills, more secure jobs and a stronger economy. The country that builds the energy system of the future will benefit for generations.

Communities most exposed to climate impacts are also those least responsible for emissions. Continuing to license new extraction makes their situation worse for the benefit of a small number of shareholders. A licence ban is a question of basic justice.

Clean transport is not a luxury for the better-off; it is a basic public health requirement and an economic opportunity. The combination of an earlier ban, a generous scrappage scheme and serious investment in public transport delivers on all three fronts.

An emergency upgrade programme for existing homes is the fastest route to lower bills and warmer winters for millions. Starting with free insulation and heat pumps for those on low incomes ensures the most exposed households benefit first.

Making polluters pay and investing the proceeds in the green transition is the cleanest pairing in climate economics. It puts the cost where it belongs, funds the alternatives at scale and avoids the inefficiency of recycling small sums back to every household.

Climate finance provided as loans rather than grants stores up further problems for the future, particularly for the poorest people in the poorest countries. Direct grant funding is the only responsible form of international climate support.",A_PKG_20
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,409.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","Cheap, clean electricity is the foundation of a modern industrial strategy. Investing at scale in domestic renewables means lower bills, more secure jobs and a stronger economy. The country that builds the energy system of the future will benefit for generations.

Communities most exposed to climate impacts are also those least responsible for emissions. Continuing to license new extraction makes their situation worse for the benefit of a small number of shareholders. A licence ban is a question of basic justice.

Clean transport is not a luxury for the better-off; it is a basic public health requirement and an economic opportunity. The combination of an earlier ban, a generous scrappage scheme and serious investment in public transport delivers on all three fronts.

An emergency upgrade programme for existing homes is the fastest route to lower bills and warmer winters for millions. Starting with free insulation and heat pumps for those on low incomes ensures the most exposed households benefit first.

Making polluters pay and investing the proceeds in the green transition is the cleanest pairing in climate economics. It puts the cost where it belongs, funds the alternatives at scale and avoids the inefficiency of recycling small sums back to every household.

Climate finance provided as loans rather than grants stores up further problems for the future, particularly for the poorest people in the poorest countries. Direct grant funding is the only responsible form of international climate support.",A_PKG_20
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1957.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","Cheap, clean electricity is the foundation of a modern industrial strategy. Investing at scale in domestic renewables means lower bills, more secure jobs and a stronger economy. The country that builds the energy system of the future will benefit for generations.

Communities most exposed to climate impacts are also those least responsible for emissions. Continuing to license new extraction makes their situation worse for the benefit of a small number of shareholders. A licence ban is a question of basic justice.

Clean transport is not a luxury for the better-off; it is a basic public health requirement and an economic opportunity. The combination of an earlier ban, a generous scrappage scheme and serious investment in public transport delivers on all three fronts.

An emergency upgrade programme for existing homes is the fastest route to lower bills and warmer winters for millions. Starting with free insulation and heat pumps for those on low incomes ensures the most exposed households benefit first.

Making polluters pay and investing the proceeds in the green transition is the cleanest pairing in climate economics. It puts the cost where it belongs, funds the alternatives at scale and avoids the inefficiency of recycling small sums back to every household.

Climate finance provided as loans rather than grants stores up further problems for the future, particularly for the poorest people in the poorest countries. Direct grant funding is the only responsible form of international climate support.",A_PKG_20
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,165.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","The current Renewable Obligation regime forces every household to subsidise generators they did not choose. Removing these obligations would cut electricity bills and end the rigged market that punishes ordinary consumers. A common-sense plan for cheap power means stopping these payments now.

Skilled North Sea workers and supply-chain firms in coastal communities are being told their work is no longer wanted. That is a betrayal. Issuing new licences would protect tens of thousands of well-paid jobs and the towns that depend on them.

Drivers in rural areas, on shift work, or with limited budgets have no realistic alternative to a petrol or diesel car. The 2030 ban is a policy designed by people who never have to think about these realities. It must be reversed in defence of ordinary motorists.

Letting builders choose proven, affordable heating systems would help more homes be built faster. Imposing expensive technologies that the market has not yet brought down in price only makes the housing crisis worse and chases away small developers.

Domestic industry already faces some of the highest energy prices in the developed world. Layering a carbon tax on top of that is a deliberate choice to deindustrialise. Removing it would restore a level playing field and protect skilled jobs.

Foreign aid budgets have grown despite repeated promises of reform. Climate compensation is now being added on top. A sensible approach would halve aid spending overall and remove climate-specific transfers entirely.",B_PKG_05
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1379.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","The current Renewable Obligation regime forces every household to subsidise generators they did not choose. Removing these obligations would cut electricity bills and end the rigged market that punishes ordinary consumers. A common-sense plan for cheap power means stopping these payments now.

Skilled North Sea workers and supply-chain firms in coastal communities are being told their work is no longer wanted. That is a betrayal. Issuing new licences would protect tens of thousands of well-paid jobs and the towns that depend on them.

Drivers in rural areas, on shift work, or with limited budgets have no realistic alternative to a petrol or diesel car. The 2030 ban is a policy designed by people who never have to think about these realities. It must be reversed in defence of ordinary motorists.

Letting builders choose proven, affordable heating systems would help more homes be built faster. Imposing expensive technologies that the market has not yet brought down in price only makes the housing crisis worse and chases away small developers.

Domestic industry already faces some of the highest energy prices in the developed world. Layering a carbon tax on top of that is a deliberate choice to deindustrialise. Removing it would restore a level playing field and protect skilled jobs.

Foreign aid budgets have grown despite repeated promises of reform. Climate compensation is now being added on top. A sensible approach would halve aid spending overall and remove climate-specific transfers entirely.",B_PKG_05
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,713.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","The current Renewable Obligation regime forces every household to subsidise generators they did not choose. Removing these obligations would cut electricity bills and end the rigged market that punishes ordinary consumers. A common-sense plan for cheap power means stopping these payments now.

Skilled North Sea workers and supply-chain firms in coastal communities are being told their work is no longer wanted. That is a betrayal. Issuing new licences would protect tens of thousands of well-paid jobs and the towns that depend on them.

Drivers in rural areas, on shift work, or with limited budgets have no realistic alternative to a petrol or diesel car. The 2030 ban is a policy designed by people who never have to think about these realities. It must be reversed in defence of ordinary motorists.

Letting builders choose proven, affordable heating systems would help more homes be built faster. Imposing expensive technologies that the market has not yet brought down in price only makes the housing crisis worse and chases away small developers.

Domestic industry already faces some of the highest energy prices in the developed world. Layering a carbon tax on top of that is a deliberate choice to deindustrialise. Removing it would restore a level playing field and protect skilled jobs.

Foreign aid budgets have grown despite repeated promises of reform. Climate compensation is now being added on top. A sensible approach would halve aid spending overall and remove climate-specific transfers entirely.",B_PKG_05
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1957.0,broadcast,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","The current Renewable Obligation regime forces every household to subsidise generators they did not choose. Removing these obligations would cut electricity bills and end the rigged market that punishes ordinary consumers. A common-sense plan for cheap power means stopping these payments now.

Skilled North Sea workers and supply-chain firms in coastal communities are being told their work is no longer wanted. That is a betrayal. Issuing new licences would protect tens of thousands of well-paid jobs and the towns that depend on them.

Drivers in rural areas, on shift work, or with limited budgets have no realistic alternative to a petrol or diesel car. The 2030 ban is a policy designed by people who never have to think about these realities. It must be reversed in defence of ordinary motorists.

Letting builders choose proven, affordable heating systems would help more homes be built faster. Imposing expensive technologies that the market has not yet brought down in price only makes the housing crisis worse and chases away small developers.

Domestic industry already faces some of the highest energy prices in the developed world. Layering a carbon tax on top of that is a deliberate choice to deindustrialise. Removing it would restore a level playing field and protect skilled jobs.

Foreign aid budgets have grown despite repeated promises of reform. Climate compensation is now being added on top. A sensible approach would halve aid spending overall and remove climate-specific transfers entirely.",B_PKG_05
1,C,peer_message,citizen,582.0,,1379.0,direct,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","I slightly support accelerating renewable energy roll-out because I think it’s a practical way to reduce our impact on the planet without being too extreme, and I like the idea of moving toward a more sustainable future. I’m not against it, but I’d like to see a balanced approach that doesn’t disrupt communities or economies too much.

I’m neutral on banning new oil/gas/coal licenses because I understand the environmental concerns, but I’m not sure how to transition those industries without hurting people who rely on them for jobs. I think there needs to be a plan for everyone.

I somewhat oppose the ban on new petrol cars by 2030 because I worry it might not be fair to people who can’t afford electric cars or live in areas where charging is hard to come by. I think there should be more support for transition, not just a deadline.

I somewhat support green standards for new housing because I think energy efficiency is good for both the environment and people’s budgets, especially for lower-income families. But I’d like to see it done in a way that’s realistic and doesn’t put too much pressure on local builders or economies.

I’m neutral on a carbon tax with dividend because I think the idea has some merit, but I’m not sure how effective it would be in practice. I’m more cautious about big government interventions and prefer gradual, thoughtful changes.

I slightly oppose compensating poorer countries for climate impacts because I think the focus should be on reducing emissions globally, not just helping those who are already suffering. I don’t want to create a system where some countries feel they’re being unfairly treated.",
1,C,peer_message,citizen,1379.0,,582.0,direct,,climate_policy_package,"[""ClimatePolicyID(1)"", ""ClimatePolicyID(2)"", ""ClimatePolicyID(3)"", ""ClimatePolicyID(4)"", ""ClimatePolicyID(5)"", ""ClimatePolicyID(6)""]","I'd say I'm **somewhat in favour** of accelerating renewable energy roll-out — I see it as a practical step toward balancing progress with environmental responsibility, and I don’t think it has to mean full-blown eco-activism. I’m **neutral** on banning new oil/gas/coal licenses — it feels like a complex trade-off between energy security, jobs, and the environment, and I don’t think the government should pick a side I don’t fully agree with. I’m **slightly against** the 2030 petrol car ban — it feels too abrupt and could ignore real-world challenges for people in rural areas. I’m **neutral** on the green housing mandates too — I get the environmental goals, but I worry about the cost and practicality for developers and homeowners. I’m **neutral** on the carbon tax and dividend idea — I like the idea of sharing the burden, but I’m wary of government overreach and how it might affect industries and households. And I’m **slightly in favour** of compensating countries hit by climate change — I think it’s fair, but I also think it needs to be balanced with practicality and responsibility.",
