agent_id,day,policy_id,numeric
165.0,0,ClimatePolicyID(1),1
165.0,1,ClimatePolicyID(1),1
165.0,2,ClimatePolicyID(1),1
165.0,3,ClimatePolicyID(1),1
165.0,4,ClimatePolicyID(1),1
165.0,0,ClimatePolicyID(2),1
165.0,1,ClimatePolicyID(2),1
165.0,2,ClimatePolicyID(2),1
165.0,3,ClimatePolicyID(2),1
165.0,4,ClimatePolicyID(2),1
165.0,0,ClimatePolicyID(3),1
165.0,1,ClimatePolicyID(3),1
165.0,2,ClimatePolicyID(3),1
165.0,3,ClimatePolicyID(3),1
165.0,4,ClimatePolicyID(3),1
165.0,0,ClimatePolicyID(4),1
165.0,1,ClimatePolicyID(4),1
165.0,2,ClimatePolicyID(4),1
165.0,3,ClimatePolicyID(4),1
165.0,4,ClimatePolicyID(4),1
165.0,0,ClimatePolicyID(5),1
165.0,1,ClimatePolicyID(5),1
165.0,2,ClimatePolicyID(5),1
165.0,3,ClimatePolicyID(5),1
165.0,4,ClimatePolicyID(5),1
165.0,0,ClimatePolicyID(6),1
165.0,1,ClimatePolicyID(6),1
165.0,2,ClimatePolicyID(6),1
165.0,3,ClimatePolicyID(6),1
165.0,4,ClimatePolicyID(6),1
582.0,0,ClimatePolicyID(1),1
582.0,1,ClimatePolicyID(1),1
582.0,2,ClimatePolicyID(1),1
582.0,3,ClimatePolicyID(1),1
582.0,4,ClimatePolicyID(1),1
582.0,0,ClimatePolicyID(2),1
582.0,1,ClimatePolicyID(2),1
582.0,2,ClimatePolicyID(2),1
582.0,3,ClimatePolicyID(2),1
582.0,4,ClimatePolicyID(2),1
582.0,0,ClimatePolicyID(3),1
582.0,1,ClimatePolicyID(3),1
582.0,2,ClimatePolicyID(3),1
582.0,3,ClimatePolicyID(3),1
582.0,4,ClimatePolicyID(3),1
582.0,0,ClimatePolicyID(4),1
582.0,1,ClimatePolicyID(4),1
582.0,2,ClimatePolicyID(4),1
582.0,3,ClimatePolicyID(4),1
582.0,4,ClimatePolicyID(4),1
582.0,0,ClimatePolicyID(5),1
582.0,1,ClimatePolicyID(5),1
582.0,2,ClimatePolicyID(5),1
582.0,3,ClimatePolicyID(5),1
582.0,4,ClimatePolicyID(5),1
582.0,0,ClimatePolicyID(6),1
582.0,1,ClimatePolicyID(6),1
582.0,2,ClimatePolicyID(6),1
582.0,3,ClimatePolicyID(6),1
582.0,4,ClimatePolicyID(6),1
1379.0,0,ClimatePolicyID(1),1
1379.0,1,ClimatePolicyID(1),1
1379.0,2,ClimatePolicyID(1),1
1379.0,3,ClimatePolicyID(1),1
1379.0,4,ClimatePolicyID(1),1
1379.0,0,ClimatePolicyID(2),-3
1379.0,1,ClimatePolicyID(2),-3
1379.0,2,ClimatePolicyID(2),-3
1379.0,3,ClimatePolicyID(2),-3
1379.0,4,ClimatePolicyID(2),2
1379.0,0,ClimatePolicyID(3),2
1379.0,1,ClimatePolicyID(3),2
1379.0,2,ClimatePolicyID(3),2
1379.0,3,ClimatePolicyID(3),2
1379.0,4,ClimatePolicyID(3),2
1379.0,0,ClimatePolicyID(4),1
1379.0,1,ClimatePolicyID(4),1
1379.0,2,ClimatePolicyID(4),1
1379.0,3,ClimatePolicyID(4),2
1379.0,4,ClimatePolicyID(4),2
1379.0,0,ClimatePolicyID(5),1
1379.0,1,ClimatePolicyID(5),1
1379.0,2,ClimatePolicyID(5),1
1379.0,3,ClimatePolicyID(5),1
1379.0,4,ClimatePolicyID(5),1
1379.0,0,ClimatePolicyID(6),1
1379.0,1,ClimatePolicyID(6),1
1379.0,2,ClimatePolicyID(6),1
1379.0,3,ClimatePolicyID(6),1
1379.0,4,ClimatePolicyID(6),1
713.0,0,ClimatePolicyID(1),1
713.0,1,ClimatePolicyID(1),1
713.0,2,ClimatePolicyID(1),1
713.0,3,ClimatePolicyID(1),1
713.0,4,ClimatePolicyID(1),1
713.0,0,ClimatePolicyID(2),-3
713.0,1,ClimatePolicyID(2),-2
713.0,2,ClimatePolicyID(2),-2
713.0,3,ClimatePolicyID(2),-2
713.0,4,ClimatePolicyID(2),2
713.0,0,ClimatePolicyID(3),1
713.0,1,ClimatePolicyID(3),1
713.0,2,ClimatePolicyID(3),1
713.0,3,ClimatePolicyID(3),1
713.0,4,ClimatePolicyID(3),1
713.0,0,ClimatePolicyID(4),1
713.0,1,ClimatePolicyID(4),1
713.0,2,ClimatePolicyID(4),1
713.0,3,ClimatePolicyID(4),1
713.0,4,ClimatePolicyID(4),1
713.0,0,ClimatePolicyID(5),1
713.0,1,ClimatePolicyID(5),1
713.0,2,ClimatePolicyID(5),1
