agent_id,policy_id,ground_truth
165.0,ClimatePolicyID(1),2
165.0,ClimatePolicyID(2),0
165.0,ClimatePolicyID(3),0
165.0,ClimatePolicyID(4),1
165.0,ClimatePolicyID(5),1
165.0,ClimatePolicyID(6),1
582.0,ClimatePolicyID(1),1
582.0,ClimatePolicyID(2),0
582.0,ClimatePolicyID(3),-2
582.0,ClimatePolicyID(4),2
582.0,ClimatePolicyID(5),0
582.0,ClimatePolicyID(6),-1
1379.0,ClimatePolicyID(1),2
1379.0,ClimatePolicyID(2),0
1379.0,ClimatePolicyID(3),-1
1379.0,ClimatePolicyID(4),0
1379.0,ClimatePolicyID(5),0
1379.0,ClimatePolicyID(6),1
713.0,ClimatePolicyID(1),1
713.0,ClimatePolicyID(2),-3
713.0,ClimatePolicyID(3),-3
713.0,ClimatePolicyID(4),-3
713.0,ClimatePolicyID(5),-2
713.0,ClimatePolicyID(6),-3
1878.0,ClimatePolicyID(1),2
1878.0,ClimatePolicyID(2),-1
1878.0,ClimatePolicyID(3),0
1878.0,ClimatePolicyID(4),1
1878.0,ClimatePolicyID(5),2
1878.0,ClimatePolicyID(6),0
844.0,ClimatePolicyID(1),3
844.0,ClimatePolicyID(2),2
844.0,ClimatePolicyID(3),3
844.0,ClimatePolicyID(4),3
844.0,ClimatePolicyID(5),3
844.0,ClimatePolicyID(6),-2
409.0,ClimatePolicyID(1),2
409.0,ClimatePolicyID(2),2
409.0,ClimatePolicyID(3),1
409.0,ClimatePolicyID(4),3
409.0,ClimatePolicyID(5),1
409.0,ClimatePolicyID(6),2
1957.0,ClimatePolicyID(1),3
1957.0,ClimatePolicyID(2),3
1957.0,ClimatePolicyID(3),3
1957.0,ClimatePolicyID(4),3
1957.0,ClimatePolicyID(5),3
1957.0,ClimatePolicyID(6),1
91.0,ClimatePolicyID(1),2
91.0,ClimatePolicyID(2),1
91.0,ClimatePolicyID(3),1
91.0,ClimatePolicyID(4),2
91.0,ClimatePolicyID(5),2
91.0,ClimatePolicyID(6),0
69.0,ClimatePolicyID(1),1
69.0,ClimatePolicyID(2),0
69.0,ClimatePolicyID(3),0
69.0,ClimatePolicyID(4),1
69.0,ClimatePolicyID(5),0
69.0,ClimatePolicyID(6),-2
166.0,ClimatePolicyID(1),3
166.0,ClimatePolicyID(2),3
166.0,ClimatePolicyID(3),1
166.0,ClimatePolicyID(4),1
166.0,ClimatePolicyID(5),0
166.0,ClimatePolicyID(6),1
103.0,ClimatePolicyID(1),3
103.0,ClimatePolicyID(2),-2
103.0,ClimatePolicyID(3),-2
103.0,ClimatePolicyID(4),3
103.0,ClimatePolicyID(5),3
103.0,ClimatePolicyID(6),-3
1262.0,ClimatePolicyID(1),1
1262.0,ClimatePolicyID(2),0
1262.0,ClimatePolicyID(3),-3
1262.0,ClimatePolicyID(4),1
1262.0,ClimatePolicyID(5),0
1262.0,ClimatePolicyID(6),-2
377.0,ClimatePolicyID(1),3
377.0,ClimatePolicyID(2),2
377.0,ClimatePolicyID(3),-1
377.0,ClimatePolicyID(4),3
377.0,ClimatePolicyID(5),1
377.0,ClimatePolicyID(6),0
574.0,ClimatePolicyID(1),2
574.0,ClimatePolicyID(2),0
574.0,ClimatePolicyID(3),1
574.0,ClimatePolicyID(4),3
574.0,ClimatePolicyID(5),1
574.0,ClimatePolicyID(6),0
556.0,ClimatePolicyID(1),3
556.0,ClimatePolicyID(2),3
556.0,ClimatePolicyID(3),3
556.0,ClimatePolicyID(4),3
556.0,ClimatePolicyID(5),3
556.0,ClimatePolicyID(6),1
752.0,ClimatePolicyID(1),0
752.0,ClimatePolicyID(2),-2
752.0,ClimatePolicyID(3),-3
752.0,ClimatePolicyID(4),2
752.0,ClimatePolicyID(5),-2
752.0,ClimatePolicyID(6),-2
1001.0,ClimatePolicyID(1),1
1001.0,ClimatePolicyID(2),2
1001.0,ClimatePolicyID(3),-2
1001.0,ClimatePolicyID(4),3
1001.0,ClimatePolicyID(5),0
1001.0,ClimatePolicyID(6),-1
440.0,ClimatePolicyID(1),3
440.0,ClimatePolicyID(2),3
440.0,ClimatePolicyID(3),1
440.0,ClimatePolicyID(4),3
440.0,ClimatePolicyID(5),-2
440.0,ClimatePolicyID(6),1
1250.0,ClimatePolicyID(1),2
1250.0,ClimatePolicyID(2),0
1250.0,ClimatePolicyID(3),-3
1250.0,ClimatePolicyID(4),3
1250.0,ClimatePolicyID(5),1
1250.0,ClimatePolicyID(6),1
355.0,ClimatePolicyID(1),3
355.0,ClimatePolicyID(2),3
355.0,ClimatePolicyID(3),3
355.0,ClimatePolicyID(4),3
355.0,ClimatePolicyID(5),2
355.0,ClimatePolicyID(6),2
1904.0,ClimatePolicyID(1),1
1904.0,ClimatePolicyID(2),-1
1904.0,ClimatePolicyID(3),-3
1904.0,ClimatePolicyID(4),0
1904.0,ClimatePolicyID(5),-3
1904.0,ClimatePolicyID(6),-3
1900.0,ClimatePolicyID(1),1
1900.0,ClimatePolicyID(2),0
1900.0,ClimatePolicyID(3),0
1900.0,ClimatePolicyID(4),1
1900.0,ClimatePolicyID(5),-1
1900.0,ClimatePolicyID(6),2
620.0,ClimatePolicyID(1),-1
620.0,ClimatePolicyID(2),-1
620.0,ClimatePolicyID(3),-1
620.0,ClimatePolicyID(4),-1
620.0,ClimatePolicyID(5),0
620.0,ClimatePolicyID(6),0
1454.0,ClimatePolicyID(1),1
1454.0,ClimatePolicyID(2),0
1454.0,ClimatePolicyID(3),-3
1454.0,ClimatePolicyID(4),1
1454.0,ClimatePolicyID(5),0
1454.0,ClimatePolicyID(6),-1
1723.0,ClimatePolicyID(1),1
1723.0,ClimatePolicyID(2),1
1723.0,ClimatePolicyID(3),-1
1723.0,ClimatePolicyID(4),-2
1723.0,ClimatePolicyID(5),-1
1723.0,ClimatePolicyID(6),-2
806.0,ClimatePolicyID(1),3
806.0,ClimatePolicyID(2),3
806.0,ClimatePolicyID(3),3
806.0,ClimatePolicyID(4),3
806.0,ClimatePolicyID(5),-1
806.0,ClimatePolicyID(6),1
1269.0,ClimatePolicyID(1),2
1269.0,ClimatePolicyID(2),0
1269.0,ClimatePolicyID(3),3
1269.0,ClimatePolicyID(4),3
1269.0,ClimatePolicyID(5),3
1269.0,ClimatePolicyID(6),2
381.0,ClimatePolicyID(1),1
381.0,ClimatePolicyID(2),-1
381.0,ClimatePolicyID(3),0
