condition,agent_answer,count,proportion
neutral,D,400,0.6666666666666666
neutral,F,200,0.3333333333333333
original,A,43,0.07166666666666667
original,B,12,0.02
original,C,30,0.05
original,D,17,0.028333333333333332
original,E,77,0.12833333333333333
original,F,50,0.08333333333333333
original,G,371,0.6183333333333333
shuffled,A,43,0.07166666666666667
shuffled,B,13,0.021666666666666667
shuffled,C,29,0.04833333333333333
shuffled,D,17,0.028333333333333332
shuffled,E,73,0.12166666666666667
shuffled,F,54,0.09
shuffled,G,371,0.6183333333333333
