agent_id,policy_id,letter,llm,gt,err,abs_err,exact,ordinal
1923.0,ClimatePolicyID(1),F,2,1,1,1,0,1
1923.0,ClimatePolicyID(2),G,3,1,2,2,0,0
1923.0,ClimatePolicyID(3),F,2,1,1,1,0,1
1923.0,ClimatePolicyID(4),F,2,1,1,1,0,1
1923.0,ClimatePolicyID(5),F,2,0,2,2,0,0
1923.0,ClimatePolicyID(6),F,2,0,2,2,0,0
528.0,ClimatePolicyID(1),G,3,3,0,0,1,1
528.0,ClimatePolicyID(2),G,3,3,0,0,1,1
528.0,ClimatePolicyID(3),G,3,3,0,0,1,1
528.0,ClimatePolicyID(4),G,3,3,0,0,1,1
528.0,ClimatePolicyID(5),G,3,3,0,0,1,1
528.0,ClimatePolicyID(6),G,3,2,1,1,0,1
541.0,ClimatePolicyID(1),G,3,0,3,3,0,0
541.0,ClimatePolicyID(2),G,3,3,0,0,1,1
541.0,ClimatePolicyID(3),F,2,3,-1,1,0,1
541.0,ClimatePolicyID(4),G,3,2,1,1,0,1
541.0,ClimatePolicyID(5),F,2,3,-1,1,0,1
541.0,ClimatePolicyID(6),F,2,3,-1,1,0,1
1545.0,ClimatePolicyID(1),F,2,1,1,1,0,1
1545.0,ClimatePolicyID(2),C,-1,0,-1,1,0,1
1545.0,ClimatePolicyID(3),C,-1,1,-2,2,0,0
1545.0,ClimatePolicyID(4),F,2,0,2,2,0,0
1545.0,ClimatePolicyID(5),F,2,1,1,1,0,1
1545.0,ClimatePolicyID(6),C,-1,0,-1,1,0,1
1309.0,ClimatePolicyID(1),G,3,2,1,1,0,1
1309.0,ClimatePolicyID(2),G,3,-2,5,5,0,0
1309.0,ClimatePolicyID(3),F,2,2,0,0,1,1
1309.0,ClimatePolicyID(4),G,3,2,1,1,0,1
1309.0,ClimatePolicyID(5),G,3,0,3,3,0,0
1309.0,ClimatePolicyID(6),F,2,-2,4,4,0,0
1821.0,ClimatePolicyID(1),G,3,2,1,1,0,1
1821.0,ClimatePolicyID(2),F,2,2,0,0,1,1
1821.0,ClimatePolicyID(3),F,2,0,2,2,0,0
1821.0,ClimatePolicyID(4),G,3,1,2,2,0,0
1821.0,ClimatePolicyID(5),F,2,-1,3,3,0,0
1821.0,ClimatePolicyID(6),F,2,1,1,1,0,1
1218.0,ClimatePolicyID(1),G,3,3,0,0,1,1
1218.0,ClimatePolicyID(2),G,3,3,0,0,1,1
1218.0,ClimatePolicyID(3),F,2,3,-1,1,0,1
1218.0,ClimatePolicyID(4),G,3,3,0,0,1,1
1218.0,ClimatePolicyID(5),F,2,2,0,0,1,1
1218.0,ClimatePolicyID(6),G,3,0,3,3,0,0
574.0,ClimatePolicyID(1),F,2,2,0,0,1,1
574.0,ClimatePolicyID(2),E,1,0,1,1,0,1
574.0,ClimatePolicyID(3),D,0,1,-1,1,0,1
574.0,ClimatePolicyID(4),F,2,3,-1,1,0,1
574.0,ClimatePolicyID(5),F,2,1,1,1,0,1
574.0,ClimatePolicyID(6),C,-1,0,-1,1,0,1
771.0,ClimatePolicyID(1),F,2,-1,3,3,0,0
771.0,ClimatePolicyID(2),B,-2,-2,0,0,1,1
771.0,ClimatePolicyID(3),A,-3,-3,0,0,1,1
771.0,ClimatePolicyID(4),B,-2,0,-2,2,0,0
771.0,ClimatePolicyID(5),B,-2,-3,1,1,0,1
771.0,ClimatePolicyID(6),B,-2,-2,0,0,1,1
1555.0,ClimatePolicyID(1),F,2,3,-1,1,0,1
1555.0,ClimatePolicyID(2),E,1,3,-2,2,0,0
1555.0,ClimatePolicyID(3),B,-2,-1,-1,1,0,1
1555.0,ClimatePolicyID(4),F,2,3,-1,1,0,1
1555.0,ClimatePolicyID(5),F,2,3,-1,1,0,1
1555.0,ClimatePolicyID(6),C,-1,2,-3,3,0,0
991.0,ClimatePolicyID(1),F,2,0,2,2,0,0
991.0,ClimatePolicyID(2),D,0,0,0,0,1,1
991.0,ClimatePolicyID(3),B,-2,0,-2,2,0,0
991.0,ClimatePolicyID(4),E,1,0,1,1,0,1
991.0,ClimatePolicyID(5),F,2,0,2,2,0,0
991.0,ClimatePolicyID(6),E,1,0,1,1,0,1
164.0,ClimatePolicyID(1),G,3,2,1,1,0,1
164.0,ClimatePolicyID(2),G,3,2,1,1,0,1
164.0,ClimatePolicyID(3),F,2,-2,4,4,0,0
164.0,ClimatePolicyID(4),F,2,1,1,1,0,1
164.0,ClimatePolicyID(5),F,2,1,1,1,0,1
164.0,ClimatePolicyID(6),F,2,1,1,1,0,1
1244.0,ClimatePolicyID(1),F,2,3,-1,1,0,1
1244.0,ClimatePolicyID(2),B,-2,-1,-1,1,0,1
1244.0,ClimatePolicyID(3),B,-2,-2,0,0,1,1
1244.0,ClimatePolicyID(4),F,2,1,1,1,0,1
1244.0,ClimatePolicyID(5),E,1,1,0,0,1,1
1244.0,ClimatePolicyID(6),B,-2,0,-2,2,0,0
853.0,ClimatePolicyID(1),F,2,3,-1,1,0,1
853.0,ClimatePolicyID(2),C,-1,0,-1,1,0,1
853.0,ClimatePolicyID(3),B,-2,-3,1,1,0,1
853.0,ClimatePolicyID(4),E,1,1,0,0,1,1
853.0,ClimatePolicyID(5),E,1,-3,4,4,0,0
853.0,ClimatePolicyID(6),B,-2,2,-4,4,0,0
519.0,ClimatePolicyID(1),F,2,2,0,0,1,1
519.0,ClimatePolicyID(2),F,2,3,-1,1,0,1
519.0,ClimatePolicyID(3),E,1,0,1,1,0,1
519.0,ClimatePolicyID(4),G,3,3,0,0,1,1
519.0,ClimatePolicyID(5),F,2,2,0,0,1,1
519.0,ClimatePolicyID(6),E,1,0,1,1,0,1
357.0,ClimatePolicyID(1),F,2,3,-1,1,0,1
357.0,ClimatePolicyID(2),F,2,2,0,0,1,1
357.0,ClimatePolicyID(3),E,1,2,-1,1,0,1
357.0,ClimatePolicyID(4),F,2,3,-1,1,0,1
357.0,ClimatePolicyID(5),F,2,0,2,2,0,0
357.0,ClimatePolicyID(6),F,2,3,-1,1,0,1
1318.0,ClimatePolicyID(1),G,3,3,0,0,1,1
1318.0,ClimatePolicyID(2),G,3,3,0,0,1,1
1318.0,ClimatePolicyID(3),F,2,3,-1,1,0,1
1318.0,ClimatePolicyID(4),G,3,2,1,1,0,1
1318.0,ClimatePolicyID(5),F,2,3,-1,1,0,1
1318.0,ClimatePolicyID(6),F,2,-1,3,3,0,0
516.0,ClimatePolicyID(1),F,2,3,-1,1,0,1
516.0,ClimatePolicyID(2),F,2,3,-1,1,0,1
516.0,ClimatePolicyID(3),F,2,-3,5,5,0,0
516.0,ClimatePolicyID(4),F,2,3,-1,1,0,1
516.0,ClimatePolicyID(5),F,2,3,-1,1,0,1
516.0,ClimatePolicyID(6),E,1,-3,4,4,0,0
1932.0,ClimatePolicyID(1),D,0,0,0,0,1,1
1932.0,ClimatePolicyID(2),A,-3,0,-3,3,0,0
1932.0,ClimatePolicyID(3),A,-3,0,-3,3,0,0
1932.0,ClimatePolicyID(4),B,-2,0,-2,2,0,0
1932.0,ClimatePolicyID(5),B,-2,0,-2,2,0,0
1932.0,ClimatePolicyID(6),A,-3,0,-3,3,0,0
1327.0,ClimatePolicyID(1),F,2,3,-1,1,0,1
1327.0,ClimatePolicyID(2),F,2,3,-1,1,0,1
1327.0,ClimatePolicyID(3),F,2,3,-1,1,0,1
1327.0,ClimatePolicyID(4),F,2,3,-1,1,0,1
1327.0,ClimatePolicyID(5),F,2,3,-1,1,0,1
1327.0,ClimatePolicyID(6),E,1,-3,4,4,0,0
332.0,ClimatePolicyID(1),F,2,0,2,2,0,0
332.0,ClimatePolicyID(2),F,2,0,2,2,0,0
332.0,ClimatePolicyID(3),F,2,0,2,2,0,0
332.0,ClimatePolicyID(4),F,2,0,2,2,0,0
332.0,ClimatePolicyID(5),F,2,0,2,2,0,0
332.0,ClimatePolicyID(6),F,2,0,2,2,0,0
861.0,ClimatePolicyID(1),G,3,3,0,0,1,1
861.0,ClimatePolicyID(2),G,3,3,0,0,1,1
861.0,ClimatePolicyID(3),F,2,3,-1,1,0,1
861.0,ClimatePolicyID(4),G,3,2,1,1,0,1
861.0,ClimatePolicyID(5),G,3,3,0,0,1,1
861.0,ClimatePolicyID(6),F,2,2,0,0,1,1
1540.0,ClimatePolicyID(1),F,2,2,0,0,1,1
1540.0,ClimatePolicyID(2),B,-2,-3,1,1,0,1
1540.0,ClimatePolicyID(3),B,-2,-3,1,1,0,1
1540.0,ClimatePolicyID(4),B,-2,-3,1,1,0,1
1540.0,ClimatePolicyID(5),C,-1,-3,2,2,0,0
1540.0,ClimatePolicyID(6),A,-3,-3,0,0,1,1
529.0,ClimatePolicyID(1),G,3,3,0,0,1,1
529.0,ClimatePolicyID(2),F,2,3,-1,1,0,1
529.0,ClimatePolicyID(3),F,2,2,0,0,1,1
529.0,ClimatePolicyID(4),F,2,3,-1,1,0,1
529.0,ClimatePolicyID(5),F,2,3,-1,1,0,1
529.0,ClimatePolicyID(6),F,2,2,0,0,1,1
1339.0,ClimatePolicyID(1),G,3,0,3,3,0,0
1339.0,ClimatePolicyID(2),G,3,0,3,3,0,0
1339.0,ClimatePolicyID(3),F,2,0,2,2,0,0
1339.0,ClimatePolicyID(4),G,3,0,3,3,0,0
1339.0,ClimatePolicyID(5),G,3,0,3,3,0,0
1339.0,ClimatePolicyID(6),G,3,1,2,2,0,0
1730.0,ClimatePolicyID(1),F,2,2,0,0,1,1
1730.0,ClimatePolicyID(2),B,-2,-2,0,0,1,1
1730.0,ClimatePolicyID(3),B,-2,0,-2,2,0,0
1730.0,ClimatePolicyID(4),E,1,2,-1,1,0,1
1730.0,ClimatePolicyID(5),D,0,0,0,0,1,1
1730.0,ClimatePolicyID(6),B,-2,-2,0,0,1,1
485.0,ClimatePolicyID(1),G,3,2,1,1,0,1
485.0,ClimatePolicyID(2),F,2,1,1,1,0,1
485.0,ClimatePolicyID(3),F,2,2,0,0,1,1
485.0,ClimatePolicyID(4),F,2,2,0,0,1,1
485.0,ClimatePolicyID(5),F,2,0,2,2,0,0
485.0,ClimatePolicyID(6),F,2,2,0,0,1,1
174.0,ClimatePolicyID(1),F,2,1,1,1,0,1
174.0,ClimatePolicyID(2),C,-1,-1,0,0,1,1
174.0,ClimatePolicyID(3),B,-2,-3,1,1,0,1
174.0,ClimatePolicyID(4),F,2,0,2,2,0,0
174.0,ClimatePolicyID(5),E,1,-2,3,3,0,0
174.0,ClimatePolicyID(6),B,-2,-3,1,1,0,1
1450.0,ClimatePolicyID(1),G,3,3,0,0,1,1
1450.0,ClimatePolicyID(2),G,3,3,0,0,1,1
