agent_id,policy_id,letter,llm,gt,err,abs_err,exact,ordinal
1484.0,ClimatePolicyID(5),F,2,0,2,2,0,0
1484.0,ClimatePolicyID(6),E,1,-1,2,2,0,0
524.0,ClimatePolicyID(5),F,2,2,0,0,1,1
524.0,ClimatePolicyID(6),F,2,-2,4,4,0,0
4.0,ClimatePolicyID(5),D,0,0,0,0,1,1
4.0,ClimatePolicyID(6),B,-2,-3,1,1,0,1
468.0,ClimatePolicyID(5),F,2,-2,4,4,0,0
468.0,ClimatePolicyID(6),E,1,0,1,1,0,1
814.0,ClimatePolicyID(5),E,1,2,-1,1,0,1
814.0,ClimatePolicyID(6),B,-2,2,-4,4,0,0
500.0,ClimatePolicyID(5),F,2,2,0,0,1,1
500.0,ClimatePolicyID(6),C,-1,-2,1,1,0,1
1581.0,ClimatePolicyID(5),F,2,1,1,1,0,1
1581.0,ClimatePolicyID(6),F,2,0,2,2,0,0
1742.0,ClimatePolicyID(5),D,0,0,0,0,1,1
1742.0,ClimatePolicyID(6),B,-2,0,-2,2,0,0
607.0,ClimatePolicyID(5),F,2,0,2,2,0,0
607.0,ClimatePolicyID(6),F,2,0,2,2,0,0
1033.0,ClimatePolicyID(5),G,3,0,3,3,0,0
1033.0,ClimatePolicyID(6),G,3,0,3,3,0,0
1929.0,ClimatePolicyID(5),D,0,0,0,0,1,1
1929.0,ClimatePolicyID(6),D,0,0,0,0,1,1
928.0,ClimatePolicyID(5),E,1,1,0,0,1,1
928.0,ClimatePolicyID(6),D,0,-3,3,3,0,0
621.0,ClimatePolicyID(5),C,-1,0,-1,1,0,1
621.0,ClimatePolicyID(6),B,-2,-1,-1,1,0,1
1028.0,ClimatePolicyID(5),F,2,0,2,2,0,0
1028.0,ClimatePolicyID(6),F,2,0,2,2,0,0
439.0,ClimatePolicyID(5),F,2,0,2,2,0,0
439.0,ClimatePolicyID(6),F,2,1,1,1,0,1
1132.0,ClimatePolicyID(5),E,1,0,1,1,0,1
1132.0,ClimatePolicyID(6),B,-2,1,-3,3,0,0
923.0,ClimatePolicyID(5),F,2,0,2,2,0,0
923.0,ClimatePolicyID(6),D,0,-2,2,2,0,0
1177.0,ClimatePolicyID(5),F,2,0,2,2,0,0
1177.0,ClimatePolicyID(6),E,1,0,1,1,0,1
1608.0,ClimatePolicyID(5),G,3,3,0,0,1,1
1608.0,ClimatePolicyID(6),F,2,-1,3,3,0,0
1594.0,ClimatePolicyID(5),G,3,3,0,0,1,1
1594.0,ClimatePolicyID(6),F,2,3,-1,1,0,1
515.0,ClimatePolicyID(5),E,1,2,-1,1,0,1
515.0,ClimatePolicyID(6),C,-1,0,-1,1,0,1
915.0,ClimatePolicyID(5),C,-1,-3,2,2,0,0
915.0,ClimatePolicyID(6),B,-2,-3,1,1,0,1
1533.0,ClimatePolicyID(5),D,0,0,0,0,1,1
1533.0,ClimatePolicyID(6),B,-2,0,-2,2,0,0
827.0,ClimatePolicyID(5),F,2,0,2,2,0,0
827.0,ClimatePolicyID(6),E,1,0,1,1,0,1
1084.0,ClimatePolicyID(5),F,2,0,2,2,0,0
1084.0,ClimatePolicyID(6),E,1,3,-2,2,0,0
1482.0,ClimatePolicyID(5),D,0,0,0,0,1,1
1482.0,ClimatePolicyID(6),B,-2,0,-2,2,0,0
1593.0,ClimatePolicyID(5),B,-2,0,-2,2,0,0
1593.0,ClimatePolicyID(6),B,-2,0,-2,2,0,0
271.0,ClimatePolicyID(5),F,2,0,2,2,0,0
271.0,ClimatePolicyID(6),F,2,1,1,1,0,1
597.0,ClimatePolicyID(5),G,3,3,0,0,1,1
597.0,ClimatePolicyID(6),G,3,3,0,0,1,1
1828.0,ClimatePolicyID(5),F,2,2,0,0,1,1
1828.0,ClimatePolicyID(6),F,2,2,0,0,1,1
1137.0,ClimatePolicyID(5),F,2,0,2,2,0,0
1137.0,ClimatePolicyID(6),F,2,-3,5,5,0,0
