agent_id,day,policy_id,numeric
1923.0,0,ClimatePolicyID(1),1
1923.0,1,ClimatePolicyID(1),2
1923.0,2,ClimatePolicyID(1),2
1923.0,3,ClimatePolicyID(1),2
1923.0,4,ClimatePolicyID(1),2
1923.0,5,ClimatePolicyID(1),2
1923.0,6,ClimatePolicyID(1),2
1923.0,7,ClimatePolicyID(1),2
1923.0,0,ClimatePolicyID(2),1
1923.0,1,ClimatePolicyID(2),2
1923.0,2,ClimatePolicyID(2),2
1923.0,3,ClimatePolicyID(2),2
1923.0,4,ClimatePolicyID(2),2
1923.0,5,ClimatePolicyID(2),2
1923.0,6,ClimatePolicyID(2),2
1923.0,7,ClimatePolicyID(2),2
1923.0,0,ClimatePolicyID(3),1
1923.0,1,ClimatePolicyID(3),1
1923.0,2,ClimatePolicyID(3),2
1923.0,3,ClimatePolicyID(3),2
1923.0,4,ClimatePolicyID(3),2
1923.0,5,ClimatePolicyID(3),2
1923.0,6,ClimatePolicyID(3),2
1923.0,7,ClimatePolicyID(3),2
1923.0,0,ClimatePolicyID(4),1
1923.0,1,ClimatePolicyID(4),2
1923.0,2,ClimatePolicyID(4),2
1923.0,3,ClimatePolicyID(4),2
1923.0,4,ClimatePolicyID(4),2
1923.0,5,ClimatePolicyID(4),2
1923.0,6,ClimatePolicyID(4),2
1923.0,7,ClimatePolicyID(4),2
1923.0,0,ClimatePolicyID(5),0
1923.0,1,ClimatePolicyID(5),2
1923.0,2,ClimatePolicyID(5),2
1923.0,3,ClimatePolicyID(5),1
1923.0,4,ClimatePolicyID(5),1
1923.0,5,ClimatePolicyID(5),2
1923.0,6,ClimatePolicyID(5),2
1923.0,7,ClimatePolicyID(5),2
1923.0,0,ClimatePolicyID(6),0
1923.0,1,ClimatePolicyID(6),2
1923.0,2,ClimatePolicyID(6),2
1923.0,3,ClimatePolicyID(6),2
1923.0,4,ClimatePolicyID(6),2
1923.0,5,ClimatePolicyID(6),2
1923.0,6,ClimatePolicyID(6),2
1923.0,7,ClimatePolicyID(6),2
528.0,0,ClimatePolicyID(1),3
528.0,1,ClimatePolicyID(1),3
528.0,2,ClimatePolicyID(1),3
528.0,3,ClimatePolicyID(1),3
528.0,4,ClimatePolicyID(1),3
528.0,5,ClimatePolicyID(1),3
528.0,6,ClimatePolicyID(1),3
528.0,7,ClimatePolicyID(1),3
528.0,0,ClimatePolicyID(2),3
528.0,1,ClimatePolicyID(2),3
528.0,2,ClimatePolicyID(2),3
528.0,3,ClimatePolicyID(2),3
528.0,4,ClimatePolicyID(2),3
528.0,5,ClimatePolicyID(2),3
528.0,6,ClimatePolicyID(2),3
528.0,7,ClimatePolicyID(2),3
528.0,0,ClimatePolicyID(3),3
528.0,1,ClimatePolicyID(3),3
528.0,2,ClimatePolicyID(3),3
528.0,3,ClimatePolicyID(3),3
528.0,4,ClimatePolicyID(3),3
528.0,5,ClimatePolicyID(3),3
528.0,6,ClimatePolicyID(3),3
528.0,7,ClimatePolicyID(3),3
528.0,0,ClimatePolicyID(4),3
528.0,1,ClimatePolicyID(4),3
528.0,2,ClimatePolicyID(4),3
528.0,3,ClimatePolicyID(4),3
528.0,4,ClimatePolicyID(4),3
528.0,5,ClimatePolicyID(4),3
528.0,6,ClimatePolicyID(4),3
528.0,7,ClimatePolicyID(4),3
528.0,0,ClimatePolicyID(5),3
528.0,1,ClimatePolicyID(5),3
528.0,2,ClimatePolicyID(5),3
528.0,3,ClimatePolicyID(5),3
528.0,4,ClimatePolicyID(5),3
528.0,5,ClimatePolicyID(5),3
528.0,6,ClimatePolicyID(5),3
528.0,7,ClimatePolicyID(5),3
528.0,0,ClimatePolicyID(6),2
528.0,1,ClimatePolicyID(6),2
528.0,2,ClimatePolicyID(6),2
528.0,3,ClimatePolicyID(6),2
528.0,4,ClimatePolicyID(6),2
528.0,5,ClimatePolicyID(6),2
528.0,6,ClimatePolicyID(6),2
528.0,7,ClimatePolicyID(6),2
541.0,0,ClimatePolicyID(1),0
541.0,1,ClimatePolicyID(1),1
541.0,2,ClimatePolicyID(1),1
541.0,3,ClimatePolicyID(1),1
541.0,4,ClimatePolicyID(1),2
541.0,5,ClimatePolicyID(1),1
541.0,6,ClimatePolicyID(1),1
541.0,7,ClimatePolicyID(1),1
541.0,0,ClimatePolicyID(2),3
541.0,1,ClimatePolicyID(2),3
541.0,2,ClimatePolicyID(2),3
541.0,3,ClimatePolicyID(2),3
541.0,4,ClimatePolicyID(2),3
541.0,5,ClimatePolicyID(2),3
541.0,6,ClimatePolicyID(2),3
541.0,7,ClimatePolicyID(2),3
541.0,0,ClimatePolicyID(3),3
541.0,1,ClimatePolicyID(3),2
541.0,2,ClimatePolicyID(3),2
541.0,3,ClimatePolicyID(3),2
541.0,4,ClimatePolicyID(3),2
541.0,5,ClimatePolicyID(3),2
541.0,6,ClimatePolicyID(3),2
541.0,7,ClimatePolicyID(3),2
541.0,0,ClimatePolicyID(4),2
541.0,1,ClimatePolicyID(4),2
541.0,2,ClimatePolicyID(4),2
541.0,3,ClimatePolicyID(4),2
541.0,4,ClimatePolicyID(4),2
541.0,5,ClimatePolicyID(4),2
541.0,6,ClimatePolicyID(4),2
541.0,7,ClimatePolicyID(4),2
541.0,0,ClimatePolicyID(5),3
541.0,1,ClimatePolicyID(5),2
541.0,2,ClimatePolicyID(5),2
541.0,3,ClimatePolicyID(5),2
541.0,4,ClimatePolicyID(5),2
541.0,5,ClimatePolicyID(5),2
541.0,6,ClimatePolicyID(5),2
541.0,7,ClimatePolicyID(5),2
541.0,0,ClimatePolicyID(6),3
541.0,1,ClimatePolicyID(6),3
541.0,2,ClimatePolicyID(6),2
541.0,3,ClimatePolicyID(6),2
541.0,4,ClimatePolicyID(6),2
541.0,5,ClimatePolicyID(6),3
541.0,6,ClimatePolicyID(6),2
541.0,7,ClimatePolicyID(6),3
1545.0,0,ClimatePolicyID(1),1
1545.0,1,ClimatePolicyID(1),2
1545.0,2,ClimatePolicyID(1),2
1545.0,3,ClimatePolicyID(1),2
1545.0,4,ClimatePolicyID(1),2
1545.0,5,ClimatePolicyID(1),2
1545.0,6,ClimatePolicyID(1),2
1545.0,7,ClimatePolicyID(1),2
1545.0,0,ClimatePolicyID(2),0
1545.0,1,ClimatePolicyID(2),0
1545.0,2,ClimatePolicyID(2),-1
1545.0,3,ClimatePolicyID(2),-1
1545.0,4,ClimatePolicyID(2),-1
1545.0,5,ClimatePolicyID(2),-1
1545.0,6,ClimatePolicyID(2),1
1545.0,7,ClimatePolicyID(2),0
1545.0,0,ClimatePolicyID(3),1
1545.0,1,ClimatePolicyID(3),2
1545.0,2,ClimatePolicyID(3),2
1545.0,3,ClimatePolicyID(3),2
1545.0,4,ClimatePolicyID(3),2
1545.0,5,ClimatePolicyID(3),2
1545.0,6,ClimatePolicyID(3),2
1545.0,7,ClimatePolicyID(3),2
1545.0,0,ClimatePolicyID(4),0
1545.0,1,ClimatePolicyID(4),2
1545.0,2,ClimatePolicyID(4),1
1545.0,3,ClimatePolicyID(4),2
1545.0,4,ClimatePolicyID(4),1
1545.0,5,ClimatePolicyID(4),2
1545.0,6,ClimatePolicyID(4),1
1545.0,7,ClimatePolicyID(4),1
1545.0,0,ClimatePolicyID(5),1
1545.0,1,ClimatePolicyID(5),1
1545.0,2,ClimatePolicyID(5),1
1545.0,3,ClimatePolicyID(5),1
1545.0,4,ClimatePolicyID(5),1
1545.0,5,ClimatePolicyID(5),1
1545.0,6,ClimatePolicyID(5),1
1545.0,7,ClimatePolicyID(5),1
1545.0,0,ClimatePolicyID(6),0
1545.0,1,ClimatePolicyID(6),0
1545.0,2,ClimatePolicyID(6),-1
1545.0,3,ClimatePolicyID(6),0
1545.0,4,ClimatePolicyID(6),0
1545.0,5,ClimatePolicyID(6),0
1545.0,6,ClimatePolicyID(6),0
1545.0,7,ClimatePolicyID(6),-1
1309.0,0,ClimatePolicyID(1),2
1309.0,1,ClimatePolicyID(1),2
1309.0,2,ClimatePolicyID(1),2
1309.0,3,ClimatePolicyID(1),2
1309.0,4,ClimatePolicyID(1),2
1309.0,5,ClimatePolicyID(1),2
1309.0,6,ClimatePolicyID(1),2
1309.0,7,ClimatePolicyID(1),2
1309.0,0,ClimatePolicyID(2),-2
1309.0,1,ClimatePolicyID(2),2
1309.0,2,ClimatePolicyID(2),2
1309.0,3,ClimatePolicyID(2),2
1309.0,4,ClimatePolicyID(2),2
1309.0,5,ClimatePolicyID(2),2
1309.0,6,ClimatePolicyID(2),2
1309.0,7,ClimatePolicyID(2),2
1309.0,0,ClimatePolicyID(3),2
1309.0,1,ClimatePolicyID(3),2
1309.0,2,ClimatePolicyID(3),2
1309.0,3,ClimatePolicyID(3),2
1309.0,4,ClimatePolicyID(3),2
1309.0,5,ClimatePolicyID(3),2
1309.0,6,ClimatePolicyID(3),2
1309.0,7,ClimatePolicyID(3),2
1309.0,0,ClimatePolicyID(4),2
1309.0,1,ClimatePolicyID(4),2
1309.0,2,ClimatePolicyID(4),2
1309.0,3,ClimatePolicyID(4),2
1309.0,4,ClimatePolicyID(4),2
1309.0,5,ClimatePolicyID(4),3
1309.0,6,ClimatePolicyID(4),2
1309.0,7,ClimatePolicyID(4),2
1309.0,0,ClimatePolicyID(5),0
1309.0,1,ClimatePolicyID(5),1
1309.0,2,ClimatePolicyID(5),1
1309.0,3,ClimatePolicyID(5),1
1309.0,4,ClimatePolicyID(5),1
1309.0,5,ClimatePolicyID(5),2
1309.0,6,ClimatePolicyID(5),0
1309.0,7,ClimatePolicyID(5),0
