day,phase,message_type,sender_type,sender_id,sender_side,recipient_id,recipient_scope,policy_id,package_scope,policy_ids_json,message_text
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1923.0,broadcast,ClimatePolicyID(5),,[],"I strongly support a carbon tax on fossil fuel sales that returns the revenues to the public as a dividend. This “carbon fee and dividend” approach is blunt, fair, and effective: it makes polluting activities pay for the harms they cause while putting money back into households, especially those on lower and middle incomes who spend a larger share of their budgets on energy.

A carbon tax creates a clear economic incentive to cut emissions and invest in cleaner, cheaper energy. When the revenue is distributed as a dividend, it protects households from price shocks and reduces energy poverty, with the biggest gains for renters and those on tight budgets. It also levels the playing field for renewables—fossil fuels become comparatively more expensive, accelerating the switch to wind, solar, and community-owned energy that keeps bills lower in the long run.

Public ownership and democratic oversight ensure the dividend funds public services and green investment, not hidden corporate profits. This policy aligns with a fairer, greener Britain: lower emissions, healthier communities, thriving local economies, and a secure future for everyone. Real Hope, Real Change for the Common Good."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,528.0,broadcast,ClimatePolicyID(5),,[],"I strongly support a carbon tax on fossil fuel sales that returns the revenues to the public as a dividend. This “carbon fee and dividend” approach is blunt, fair, and effective: it makes polluting activities pay for the harms they cause while putting money back into households, especially those on lower and middle incomes who spend a larger share of their budgets on energy.

A carbon tax creates a clear economic incentive to cut emissions and invest in cleaner, cheaper energy. When the revenue is distributed as a dividend, it protects households from price shocks and reduces energy poverty, with the biggest gains for renters and those on tight budgets. It also levels the playing field for renewables—fossil fuels become comparatively more expensive, accelerating the switch to wind, solar, and community-owned energy that keeps bills lower in the long run.

Public ownership and democratic oversight ensure the dividend funds public services and green investment, not hidden corporate profits. This policy aligns with a fairer, greener Britain: lower emissions, healthier communities, thriving local economies, and a secure future for everyone. Real Hope, Real Change for the Common Good."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,541.0,broadcast,ClimatePolicyID(5),,[],"I strongly support a carbon tax on fossil fuel sales that returns the revenues to the public as a dividend. This “carbon fee and dividend” approach is blunt, fair, and effective: it makes polluting activities pay for the harms they cause while putting money back into households, especially those on lower and middle incomes who spend a larger share of their budgets on energy.

A carbon tax creates a clear economic incentive to cut emissions and invest in cleaner, cheaper energy. When the revenue is distributed as a dividend, it protects households from price shocks and reduces energy poverty, with the biggest gains for renters and those on tight budgets. It also levels the playing field for renewables—fossil fuels become comparatively more expensive, accelerating the switch to wind, solar, and community-owned energy that keeps bills lower in the long run.

Public ownership and democratic oversight ensure the dividend funds public services and green investment, not hidden corporate profits. This policy aligns with a fairer, greener Britain: lower emissions, healthier communities, thriving local economies, and a secure future for everyone. Real Hope, Real Change for the Common Good."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1545.0,broadcast,ClimatePolicyID(5),,[],"I strongly support a carbon tax on fossil fuel sales that returns the revenues to the public as a dividend. This “carbon fee and dividend” approach is blunt, fair, and effective: it makes polluting activities pay for the harms they cause while putting money back into households, especially those on lower and middle incomes who spend a larger share of their budgets on energy.

A carbon tax creates a clear economic incentive to cut emissions and invest in cleaner, cheaper energy. When the revenue is distributed as a dividend, it protects households from price shocks and reduces energy poverty, with the biggest gains for renters and those on tight budgets. It also levels the playing field for renewables—fossil fuels become comparatively more expensive, accelerating the switch to wind, solar, and community-owned energy that keeps bills lower in the long run.

Public ownership and democratic oversight ensure the dividend funds public services and green investment, not hidden corporate profits. This policy aligns with a fairer, greener Britain: lower emissions, healthier communities, thriving local economies, and a secure future for everyone. Real Hope, Real Change for the Common Good."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1309.0,broadcast,ClimatePolicyID(5),,[],"I strongly support a carbon tax on fossil fuel sales that returns the revenues to the public as a dividend. This “carbon fee and dividend” approach is blunt, fair, and effective: it makes polluting activities pay for the harms they cause while putting money back into households, especially those on lower and middle incomes who spend a larger share of their budgets on energy.

A carbon tax creates a clear economic incentive to cut emissions and invest in cleaner, cheaper energy. When the revenue is distributed as a dividend, it protects households from price shocks and reduces energy poverty, with the biggest gains for renters and those on tight budgets. It also levels the playing field for renewables—fossil fuels become comparatively more expensive, accelerating the switch to wind, solar, and community-owned energy that keeps bills lower in the long run.

Public ownership and democratic oversight ensure the dividend funds public services and green investment, not hidden corporate profits. This policy aligns with a fairer, greener Britain: lower emissions, healthier communities, thriving local economies, and a secure future for everyone. Real Hope, Real Change for the Common Good."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,541.0,broadcast,ClimatePolicyID(5),,[],"Oppose. A carbon tax with dividend sounds noble, but it’s a classic Westminster bubble stunt that hits ordinary people hardest while failing to fix the problem.

First, it’s a stealth tax on energy we all rely on. Gas, heating oil, petrol for farmers and small businesses—these prices are instantly higher, feeding inflation and crushing households already stretched to the limit by bills, mortgages, and wages that won’t keep up. The dividend is a mirage for the working person when the costs rise faster than any handout.

Second, it’s a policy crafted by elites in Whitehall, not by working Britons in the real world. It’s another layer of green levies dressed up as “fair,” while real energy sovereignty stays out of reach. It punishes productive industry and rural life, shipping jobs overseas and strangling small firms that can barely stay afloat.

What’s needed is to scrap the Net Zero fantasy, unleash domestic energy production, and lower bills now. Stop the war on drivers, stop the green tax raids, and restore Britain’s power and prosperity. Scrap carbon taxes that punish the public."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1545.0,broadcast,ClimatePolicyID(5),,[],"Oppose. A carbon tax with dividend sounds noble, but it’s a classic Westminster bubble stunt that hits ordinary people hardest while failing to fix the problem.

First, it’s a stealth tax on energy we all rely on. Gas, heating oil, petrol for farmers and small businesses—these prices are instantly higher, feeding inflation and crushing households already stretched to the limit by bills, mortgages, and wages that won’t keep up. The dividend is a mirage for the working person when the costs rise faster than any handout.

Second, it’s a policy crafted by elites in Whitehall, not by working Britons in the real world. It’s another layer of green levies dressed up as “fair,” while real energy sovereignty stays out of reach. It punishes productive industry and rural life, shipping jobs overseas and strangling small firms that can barely stay afloat.

What’s needed is to scrap the Net Zero fantasy, unleash domestic energy production, and lower bills now. Stop the war on drivers, stop the green tax raids, and restore Britain’s power and prosperity. Scrap carbon taxes that punish the public."
1,C,peer_message,citizen,1923.0,,528.0,direct,ClimatePolicyID(5),,[],"I’m cautiously supportive of carbon fee and dividend in principle, because I value equality and transparency and like the idea of using revenues to help households while nudging emissions down. The key for me is thoughtful design: ensuring the dividend is robust enough to offset price rises, protecting renters and vulnerable households, and keeping revenues invested in public services and green jobs rather than letting the system be gamed or captured. If it’s fair, well-governed, and demonstrably effective, I’d lean toward supporting it."
1,C,peer_message,citizen,1923.0,,541.0,direct,ClimatePolicyID(5),,[],"I’m cautiously supportive of carbon fee and dividend in principle, because I value equality and transparency and like the idea of using revenues to help households while nudging emissions down. The key for me is thoughtful design: ensuring the dividend is robust enough to offset price rises, protecting renters and vulnerable households, and keeping revenues invested in public services and green jobs rather than letting the system be gamed or captured. If it’s fair, well-governed, and demonstrably effective, I’d lean toward supporting it."
1,C,peer_message,citizen,528.0,,1923.0,direct,ClimatePolicyID(5),,[],"I’m generally supportive of carbon fee and dividend. It price-points pollution, incentivizes cleaner energy, and returning the revenue to people helps protect those with tighter budgets, especially in housing and energy costs. I’d want to see strong public oversight and how revenues are invested to ensure a just transition."
