agent_id,policy_id,ground_truth
1066.0,ClimatePolicyID(1),2
1066.0,ClimatePolicyID(2),1
1066.0,ClimatePolicyID(3),-1
1066.0,ClimatePolicyID(4),2
1066.0,ClimatePolicyID(5),1
1066.0,ClimatePolicyID(6),-2
1260.0,ClimatePolicyID(1),3
1260.0,ClimatePolicyID(2),2
1260.0,ClimatePolicyID(3),-1
1260.0,ClimatePolicyID(4),2
1260.0,ClimatePolicyID(5),0
1260.0,ClimatePolicyID(6),-1
1393.0,ClimatePolicyID(1),2
1393.0,ClimatePolicyID(2),0
1393.0,ClimatePolicyID(3),0
1393.0,ClimatePolicyID(4),2
1393.0,ClimatePolicyID(5),-2
1393.0,ClimatePolicyID(6),-2
413.0,ClimatePolicyID(1),3
413.0,ClimatePolicyID(2),3
413.0,ClimatePolicyID(3),-1
413.0,ClimatePolicyID(4),3
413.0,ClimatePolicyID(5),3
413.0,ClimatePolicyID(6),3
272.0,ClimatePolicyID(1),0
272.0,ClimatePolicyID(2),-2
272.0,ClimatePolicyID(3),-3
272.0,ClimatePolicyID(4),-2
272.0,ClimatePolicyID(5),0
272.0,ClimatePolicyID(6),-3
