"source_id","policy_id","side","party_name","speaker","speaker_role","date","venue","citation_url","quote_text","manifesto_or_hansard_ref","notes"
"B_01_01","1","B","Reform UK","Nigel Farage","Leader","2024-06-17","Reform UK Manifesto 'Our Contract with You'","","We will scrap Net Zero to cut bills and restore growth. [...] Scrap Net Zero and Related Subsidies. [...] Scrap Annual GBP 10 Billion of Renewable Energy Subsidies.","Reform UK: Our Contract with You","Manifesto text; GBP substituted for ASCII safety."
"B_01_02","1","B","Reform UK","Richard Tice","Deputy Leader","2025-11-12","Parliamentary Motion (Hansard) - Energy","https://hansard.parliament.uk/commons/2025-11-12/debates/405C1215-88FD-4C29-B774-77155B86F954/Energy","That this House calls on the Government to introduce a plan for cheap power by cutting public expenditure to remove the 'Carbon Tax' (UK Emissions Trading Scheme) from electricity generation and end Renewable Obligation subsidies","Hansard 2025-11-12",""
"A_01_01","1","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.local.gov.uk/about/campaigns/general-election-hub/green-party-manifesto","We estimate green investment will require an average investment of GBP 40 billion per year over the course of the parliament... Electricity generation, transmission and storage: GBP 50 billion","Green Party Manifesto 2024","GBP substituted for ASCII safety."
"A_01_02","1","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.dsc.org.uk/wp-content/uploads/2024/06/Manifesto-Mashup-General-Election-2024-FINAL.pdf","Drive a rooftop solar revolution by expanding incentives for households to install solar panels, including a guaranteed fair price for electricity sold back into the grid.","Green Party Manifesto 2024",""
"B_02_01","2","B","Reform UK","Nigel Farage","Leader","2024-06-17","Reform UK Manifesto 'Our Contract with You'","","We will unlock Britain's vast energy treasure of oil and gas to slash energy bills, beat the cost-of-living crisis and unleash real economic growth.","Reform UK: Our Contract with You",""
"B_02_02","2","B","Reform UK","Reform UK Spokesperson","Spokesperson","2025-05-23","The Guardian","https://www.theguardian.com/business/2025/may/23/reform-uk-promise-to-reverse-ban-on-north-sea-oil-drilling-if-elected","As long as there's oil in the North Sea, we should be drilling for it. There are clear benefits for securing jobs and energy independence.","The Guardian 2025-05-23",""
"A_02_01","2","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.coalaction.org.uk/2024/06/17/uk-election-2024-parties-line-up-to-ban-more-coal-mining/","Cancel recent fossil fuel licences such as for Rosebank and stop all new fossil fuel extraction projects in the UK.","Green Party Manifesto 2024",""
"A_02_02","2","A","Green Party of England and Wales","Carla Denyer","Co-Leader","2025-07-15","Parliamentary Speech (Hansard)","https://www.parallelparliament.co.uk/debate/2025-07-15/commons","We are already battling deadly heatwaves and overshooting climate limits, so it is critical that we stop extracting new oil and gas.","Hansard 2025-07-15",""
"B_03_01","3","B","Reform UK","Nigel Farage","Leader","2024-06-17","Reform UK Manifesto 'Our Contract with You'","","Net Zero has sent energy costs soaring. It is making us poorer and colder, damaging British industry and forcing drivers off the road.","Reform UK: Our Contract with You",""
"B_03_02","3","B","Reform UK","Richard Tice","Deputy Leader","2025-12-07","Official X/Twitter Account","https://voteclimate.uk/mps/richard-tice/tweets","Reform will totally scrap this disastrous, destructive Net Zero EV policy.","X/Twitter post 2025-12-07",""
