agent_id,day,policy_id,numeric
165.0,0,ClimatePolicyID(3),-2
165.0,1,ClimatePolicyID(3),-2
582.0,0,ClimatePolicyID(3),1
582.0,1,ClimatePolicyID(3),0
1379.0,0,ClimatePolicyID(3),1
1379.0,1,ClimatePolicyID(3),-2
713.0,0,ClimatePolicyID(3),2
713.0,1,ClimatePolicyID(3),-3
1878.0,0,ClimatePolicyID(3),1
1878.0,1,ClimatePolicyID(3),-1
844.0,0,ClimatePolicyID(3),1
844.0,1,ClimatePolicyID(3),2
409.0,0,ClimatePolicyID(3),2
409.0,1,ClimatePolicyID(3),1
1957.0,0,ClimatePolicyID(3),2
1957.0,1,ClimatePolicyID(3),2
91.0,0,ClimatePolicyID(3),-2
91.0,1,ClimatePolicyID(3),1
69.0,0,ClimatePolicyID(3),1
69.0,1,ClimatePolicyID(3),2
