agent_id,day,policy_id,numeric
1923.0,0,ClimatePolicyID(5),0
1923.0,1,ClimatePolicyID(5),2
1923.0,2,ClimatePolicyID(5),2
1923.0,3,ClimatePolicyID(5),2
1923.0,4,ClimatePolicyID(5),2
528.0,0,ClimatePolicyID(5),3
528.0,1,ClimatePolicyID(5),3
528.0,2,ClimatePolicyID(5),3
528.0,3,ClimatePolicyID(5),2
528.0,4,ClimatePolicyID(5),2
541.0,0,ClimatePolicyID(5),3
541.0,1,ClimatePolicyID(5),2
541.0,2,ClimatePolicyID(5),2
541.0,3,ClimatePolicyID(5),3
541.0,4,ClimatePolicyID(5),2
1545.0,0,ClimatePolicyID(5),1
1545.0,1,ClimatePolicyID(5),2
1545.0,2,ClimatePolicyID(5),2
1545.0,3,ClimatePolicyID(5),2
1545.0,4,ClimatePolicyID(5),2
1309.0,0,ClimatePolicyID(5),0
1309.0,1,ClimatePolicyID(5),2
1309.0,2,ClimatePolicyID(5),2
1309.0,3,ClimatePolicyID(5),2
1309.0,4,ClimatePolicyID(5),2
