calibration_level,question_id,stance,expected_count,predicted_count,n_rows,expected_share,predicted_share,share_delta_pred_minus_expected
baseline,Q1,Neutral,1.0,0.0,30,0.03333333333333333,0.0,-0.03333333333333333
baseline,Q1,Oppose,3.0,1.0,30,0.1,0.03333333333333333,-0.06666666666666668
baseline,Q1,Support,26.0,29.0,30,0.8666666666666667,0.9666666666666667,0.09999999999999998
baseline,Q2,Neutral,6.0,1.0,30,0.2,0.03333333333333333,-0.16666666666666669
baseline,Q2,Oppose,8.0,8.0,30,0.26666666666666666,0.26666666666666666,0.0
baseline,Q2,Support,16.0,21.0,30,0.5333333333333333,0.7,0.16666666666666663
baseline,Q3,Neutral,5.0,2.0,30,0.16666666666666666,0.06666666666666667,-0.09999999999999999
baseline,Q3,Oppose,11.0,6.0,30,0.36666666666666664,0.2,-0.16666666666666663
baseline,Q3,Support,14.0,22.0,30,0.4666666666666667,0.7333333333333333,0.2666666666666666
baseline,Q4,Oppose,2.0,5.0,30,0.06666666666666667,0.16666666666666666,0.09999999999999999
baseline,Q4,Support,28.0,25.0,30,0.9333333333333333,0.8333333333333334,-0.09999999999999998
baseline,Q5,Neutral,8.0,3.0,30,0.26666666666666666,0.1,-0.16666666666666666
baseline,Q5,Oppose,5.0,5.0,30,0.16666666666666666,0.16666666666666666,0.0
baseline,Q5,Support,17.0,22.0,30,0.5666666666666667,0.7333333333333333,0.16666666666666663
baseline,Q6,Neutral,9.0,4.0,30,0.3,0.13333333333333333,-0.16666666666666666
baseline,Q6,Oppose,9.0,4.0,30,0.3,0.13333333333333333,-0.16666666666666666
baseline,Q6,Support,12.0,22.0,30,0.4,0.7333333333333333,0.33333333333333326
soft,Q1,Neutral,1.0,0.0,30,0.03333333333333333,0.0,-0.03333333333333333
soft,Q1,Oppose,3.0,1.0,30,0.1,0.03333333333333333,-0.06666666666666668
soft,Q1,Support,26.0,29.0,30,0.8666666666666667,0.9666666666666667,0.09999999999999998
soft,Q2,Neutral,6.0,2.0,30,0.2,0.06666666666666667,-0.13333333333333336
soft,Q2,Oppose,8.0,7.0,30,0.26666666666666666,0.23333333333333334,-0.033333333333333326
soft,Q2,Support,16.0,21.0,30,0.5333333333333333,0.7,0.16666666666666663
soft,Q3,Neutral,5.0,2.0,30,0.16666666666666666,0.06666666666666667,-0.09999999999999999
soft,Q3,Oppose,11.0,7.0,30,0.36666666666666664,0.23333333333333334,-0.1333333333333333
soft,Q3,Support,14.0,21.0,30,0.4666666666666667,0.7,0.23333333333333328
soft,Q4,Oppose,2.0,4.0,30,0.06666666666666667,0.13333333333333333,0.06666666666666667
soft,Q4,Support,28.0,26.0,30,0.9333333333333333,0.8666666666666667,-0.06666666666666665
soft,Q5,Neutral,8.0,1.0,30,0.26666666666666666,0.03333333333333333,-0.23333333333333334
soft,Q5,Oppose,5.0,7.0,30,0.16666666666666666,0.23333333333333334,0.06666666666666668
soft,Q5,Support,17.0,22.0,30,0.5666666666666667,0.7333333333333333,0.16666666666666663
soft,Q6,Neutral,9.0,3.0,30,0.3,0.1,-0.19999999999999998
soft,Q6,Oppose,9.0,6.0,30,0.3,0.2,-0.09999999999999998
soft,Q6,Support,12.0,21.0,30,0.4,0.7,0.29999999999999993
strong,Q1,Neutral,1.0,3.0,30,0.03333333333333333,0.1,0.06666666666666668
strong,Q1,Oppose,3.0,0.0,30,0.1,0.0,-0.1
strong,Q1,Support,26.0,27.0,30,0.8666666666666667,0.9,0.033333333333333326
strong,Q2,Neutral,6.0,8.0,30,0.2,0.26666666666666666,0.06666666666666665
strong,Q2,Oppose,8.0,3.0,30,0.26666666666666666,0.1,-0.16666666666666666
strong,Q2,Support,16.0,19.0,30,0.5333333333333333,0.6333333333333333,0.09999999999999998
strong,Q3,Neutral,5.0,11.0,30,0.16666666666666666,0.36666666666666664,0.19999999999999998
strong,Q3,Oppose,11.0,1.0,30,0.36666666666666664,0.03333333333333333,-0.3333333333333333
strong,Q3,Support,14.0,18.0,30,0.4666666666666667,0.6,0.1333333333333333
strong,Q4,Neutral,0.0,5.0,30,0.0,0.16666666666666666,0.16666666666666666
strong,Q4,Oppose,2.0,2.0,30,0.06666666666666667,0.06666666666666667,0.0
strong,Q4,Support,28.0,23.0,30,0.9333333333333333,0.7666666666666667,-0.16666666666666663
strong,Q5,Neutral,8.0,8.0,30,0.26666666666666666,0.26666666666666666,0.0
strong,Q5,Oppose,5.0,2.0,30,0.16666666666666666,0.06666666666666667,-0.09999999999999999
strong,Q5,Support,17.0,20.0,30,0.5666666666666667,0.6666666666666666,0.09999999999999998
strong,Q6,Neutral,9.0,11.0,30,0.3,0.36666666666666664,0.06666666666666665
strong,Q6,Oppose,9.0,0.0,30,0.3,0.0,-0.3
strong,Q6,Support,12.0,19.0,30,0.4,0.6333333333333333,0.23333333333333328
